id-aluno,id-turma,serie,ensino,login-count,ano-cadastro-usuario,dias-ultimo-login,var01,var02,var03,var04,var05,var06,var07,var08,var09,var10,var11,cluster,padrao
441,30,7-ano-ef,fundamental,240,2019,215,0.1035,0.08503,0,1,1,0.02439,0,0,0.21416,0.16129,TARDE,Cluster 1,mais interagem
731,30,7-ano-ef,fundamental,182,2020,205,0.74045,0.75416,0.70588,0.39259,0.3893,0.03659,1,0.52459,1,1,NOITE,Cluster 1,mais interagem
1514,30,7-ano-ef,fundamental,469,2020,215,0.10828,0.08133,0.35294,0.56889,0.57058,0,1,0.31148,0.67185,0.23502,TARDE,Cluster 1,mais interagem
1720,30,7-ano-ef,fundamental,600,2020,215,0.45701,0.43623,0.23529,0.95407,0.95691,0,0,0.13115,0.20725,0.26728,NOITE,Cluster 1,mais interagem
1872,32,8-ano-ef,fundamental,290,2020,214,0.1465,0.14787,0.82353,0.96593,0.92125,0.39024,0.5,0.01639,0.36269,0.2212,TARDE,Cluster 1,mais interagem
1222,28,6-ano-ef,fundamental,258,2020,215,0.01433,0.01294,0,0,0,0,0,0.72131,0.3057,0.52995,TARDE,Cluster 4,mais interagem
1344,28,6-ano-ef,fundamental,266,2020,215,0.05255,0.04436,0,0.05926,0.00743,0.42683,0,0.52459,0.63903,0.4424,TARDE,Cluster 4,mais interagem
1404,28,6-ano-ef,fundamental,194,2020,208,0.05573,0.04991,0,0.03111,0.00446,0.21951,0,0.80328,0.18307,0.3871,TARDE,Cluster 4,mais interagem
1888,28,6-ano-ef,fundamental,215,2020,214,0.28344,0.26617,0,0.06667,0.04458,0.18293,0,0.36066,0.71848,0.61751,TARDE,Cluster 4,mais interagem
2013,28,6-ano-ef,fundamental,39,2020,211,0.03503,0.01294,0.88235,0.15556,0.08618,0.57317,0,0.06557,0.05354,0.06912,TARDE,Cluster 4,mais interagem
240,30,7-ano-ef,fundamental,143,2019,192,0.02548,0.02218,0.11765,0.00889,0.00892,0,0,0,0.78584,0.92627,TARDE,Cluster 4,mais interagem
282,30,7-ano-ef,fundamental,308,2019,214,0.03185,0.03512,0.05882,0.00593,0.00594,0,0,0.16393,0.36615,0.48387,TARDE,Cluster 4,mais interagem
337,30,7-ano-ef,fundamental,388,2019,210,0.30255,0.27172,0.35294,0.33778,0.32689,0.07317,0,0.03279,0.3886,0.34562,NOITE,Cluster 4,mais interagem
343,30,7-ano-ef,fundamental,186,2019,211,0.09713,0.10166,1,0.23704,0.23328,0.02439,0,0.09836,0.64767,0.62673,TARDE,Cluster 4,mais interagem
948,30,7-ano-ef,fundamental,254,2020,215,0.13217,0.08318,0,0.00148,0,0.0122,0,1,0.36788,0.69585,TARDE,Cluster 4,mais interagem
981,30,7-ano-ef,fundamental,346,2020,211,0.07325,0.06839,0,0.00148,0,0.0122,0,0.19672,0.36442,0.45161,TARDE,Cluster 4,mais interagem
1203,30,7-ano-ef,fundamental,368,2020,209,0.04618,0.04067,0.23529,0.0163,0.00594,0.08537,0,0.45902,0.3886,0.41935,TARDE,Cluster 4,mais interagem
1327,30,7-ano-ef,fundamental,311,2020,205,0.02548,0.02957,0,0,0,0,0,0.29508,0.36615,0.5023,TARDE,Cluster 4,mais interagem
1597,30,7-ano-ef,fundamental,654,2020,205,0.38694,0.3549,0.29412,0.05481,0.01634,0.02439,0,0,0.10363,0.02304,NOITE,Cluster 4,mais interagem
1836,30,7-ano-ef,fundamental,209,2020,213,0.15446,0.14233,0.11765,0.00296,0.00297,0,0,0.63934,0.17962,0.28571,TARDE,Cluster 4,mais interagem
272,32,8-ano-ef,fundamental,341,2019,201,0.2086,0.19593,0.58824,0.03852,0.02526,0.10976,0.5,0.5082,0.78411,0.43779,MANHA,Cluster 4,mais interagem
505,32,8-ano-ef,fundamental,298,2019,208,0.1051,0.09057,0,0.06074,0.00446,0.46341,0,0.03279,0.41623,0.20276,TARDE,Cluster 4,mais interagem
521,32,8-ano-ef,fundamental,247,2019,204,0.5,0.49908,0,0.00296,0.00149,0.0122,0,0,0.2038,0.13825,NOITE,Cluster 4,mais interagem
540,32,8-ano-ef,fundamental,323,2019,215,0.05096,0.03142,0,0.12296,0.00149,1,0,0.5082,0.53195,0.30876,TARDE,Cluster 4,mais interagem
655,32,8-ano-ef,fundamental,293,2019,215,0.12261,0.10166,0,0.07852,0.04012,0.31707,0.5,0.03279,0.6304,0.19816,TARDE,Cluster 4,mais interagem
